I/System.out: Pkg: com.android.nfc	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.stk	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.instantshare	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.indexsearch.observer	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: comm.cchong.BloodAssistant	ForegroundTime: 86647	BackgroundTime: 86647	Count: 11
I/System.out: Pkg: com.huawei.indexsearch	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.internal.app	ForegroundTime: 15416	BackgroundTime: 15416	Count: 7
I/System.out: Pkg: com.huawei.aw600	ForegroundTime: 67596	BackgroundTime: 67596	Count: 5
I/System.out: Pkg: com.guixue.m	ForegroundTime: 3334471	BackgroundTime: 3334471	Count: 156
I/System.out: Pkg: com.android.printspooler	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.macmillan.ielts.skillsfree	ForegroundTime: 118353	BackgroundTime: 118353	Count: 1
I/System.out: Pkg: com.android.incallui	ForegroundTime: 225848	BackgroundTime: 225848	Count: 8
I/System.out: Pkg: com.huawei.systemmanager	ForegroundTime: 21552	BackgroundTime: 21552	Count: 2
I/System.out: Pkg: com.tencent.mtt	ForegroundTime: 3949258	BackgroundTime: 3949258	Count: 53
I/System.out: Pkg: com.tencent.weread	ForegroundTime: 231752	BackgroundTime: 231752	Count: 6
I/System.out: Pkg: com.huanqiu.news	ForegroundTime: 1538950	BackgroundTime: 1538950	Count: 67
I/System.out: Pkg: com.huawei.vassistant	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: net.csdn.csdnplus	ForegroundTime: 1220630	BackgroundTime: 1220630	Count: 34
I/System.out: Pkg: com.android.server.telecom	ForegroundTime: 611	BackgroundTime: 611	Count: 3
I/System.out: Pkg: com.youdao.dict	ForegroundTime: 1402527	BackgroundTime: 1402527	Count: 15
I/System.out: Pkg: com.youdao.note	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.chrome	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.gallery3d	ForegroundTime: 3826577	BackgroundTime: 3826577	Count: 26
I/System.out: Pkg: com.google.android.gms	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.google.android.gsf	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.mobileqq	ForegroundTime: 1775730	BackgroundTime: 1775730	Count: 145
I/System.out: Pkg: com.android.packageinstaller	ForegroundTime: 18006	BackgroundTime: 18006	Count: 9
I/System.out: Pkg: com.svox.pico	ForegroundTime: 153	BackgroundTime: 153	Count: 1
I/System.out: Pkg: com.huawei.contactscamcard	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hiboard	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.vrservice	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.baidu.BaiduMap	ForegroundTime: 74479	BackgroundTime: 74479	Count: 4
I/System.out: Pkg: com.huawei.android.dsdscardmanager	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.hwaps	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.hwouc	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.powergenie	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.wordoor.andr.popon	ForegroundTime: 783922	BackgroundTime: 783922	Count: 24
I/System.out: Pkg: english.grammar.test.app	ForegroundTime: 776794	BackgroundTime: 776794	Count: 7
I/System.out: Pkg: com.evernote	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.settings	ForegroundTime: 265273	BackgroundTime: 265273	Count: 27
I/System.out: Pkg: com.android.calculator2	ForegroundTime: 97064	BackgroundTime: 97064	Count: 1
I/System.out: Pkg: com.taobao.idlefish	ForegroundTime: 153301	BackgroundTime: 153301	Count: 15
I/System.out: Pkg: com.sohu.newsclient	ForegroundTime: 11992	BackgroundTime: 11992	Count: 8
I/System.out: Pkg: com.huawei.geofence	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.ihealth	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.location.activityrecognition	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.email	ForegroundTime: 131602	BackgroundTime: 131602	Count: 13
I/System.out: Pkg: com.android.phone	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.blockednumber	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.userdictionary	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.deskclock	ForegroundTime: 36886	BackgroundTime: 36886	Count: 8
I/System.out: Pkg: com.android.systemui	ForegroundTime: 86460	BackgroundTime: 86460	Count: 39
I/System.out: Pkg: com.english.learnword.allielts	ForegroundTime: 63205	BackgroundTime: 63205	Count: 4
I/System.out: Pkg: com.zhan.ieltstiku	ForegroundTime: 94238	BackgroundTime: 94238	Count: 15
I/System.out: Pkg: com.zhan.ieltsword	ForegroundTime: 26083	BackgroundTime: 26083	Count: 5
I/System.out: Pkg: fm.jihua.kecheng	ForegroundTime: 158307	BackgroundTime: 158307	Count: 17
I/System.out: Pkg: com.taobao.taobao	ForegroundTime: 1509985	BackgroundTime: 1509985	Count: 113
I/System.out: Pkg: com.trungstormsix.englishgrammar	ForegroundTime: 71673	BackgroundTime: 71673	Count: 4
